Player,Salary,Ht,Exp,expsq
Kemba Walker,12000000,6.08,5,25
Briante Weber,231521,6.17,1,1
Marvin Williams,12250000,6.75,11,121
Christian Wood,874636,6.92,1,1
Cody Zeller,5318313,7,3,9
Carmelo Anthony,24559380,6.67,13,169
Ron Baker,543471,6.33,0,0
Willy Hernangomez,1375000,6.92,0,0
Justin Holiday,1015696,6.5,3,9
Brandon Jennings,4837318,6.08,7,49
Mindaugas Kuzminskas,2898000,6.75,0,0
Courtney Lee,11242000,6.42,8,64
Maurice Ndour,543471,6.75,0,0
Joakim Noah,17000000,6.92,9,81
Kyle O'Quinn,3900000,6.83,4,16
Marshall Plumlee,543471,7,0,0
Kristaps Porzingis,4317720,7.25,1,1
Chasson Randle,243860,6.17,0,0
Derrick Rose,21323250,6.25,7,49
Lance Thomas,6191000,6.67,5,25
Sasha Vujacic,1410598,6.58,9,81
Quincy Acy,1914544,6.58,4,16
Anthony Bennett,1015696,6.67,3,9
Trevor Booker,9250000,6.67,6,36
Spencer Dinwiddie,726672,6.5,2,4
Yogi Ferrell,202300,6,0,0
Randy Foye,2500000,6.33,10,100
Archie Goodwin,194494,6.42,3,9
Justin Hamilton,3000000,7,2,4
Joe Harris,980431,6.5,2,4
Rondae Hollis-Jefferson,1395600,6.58,1,1
Sean Kilpatrick,980431,6.33,2,4
Caris LeVert,1562280,6.58,0,0
Jeremy Lin,11483254,6.25,6,36
Brook Lopez,21165675,7,8,64
K.J. McDaniels,3333333,6.5,2,4
Andrew Nicholson,6088993,6.75,4,16
Luis Scola,5000000,6.75,9,81
Greivis Vasquez,4347826,6.5,6,36
Isaiah Whitehead,1074145,6.33,0,0
Jimmy Butler,17552209,6.67,5,25
Isaiah Canaan,1015696,6,3,9
Michael Carter-Williams,3183526,6.5,3,9
Cristiano Felicio,874636,6.83,1,1
Jerian Grant,1643040,6.33,1,1
R.J. Hunter,425000,6.42,1,1
Joffrey Lauvergne,1709720,6.92,2,4
Robin Lopez,13219250,7,8,64
Nikola Mirotic,5782450,6.83,2,4
Anthony Morrow,3488000,6.42,8,64
Cameron Payne,2112480,6.25,1,1
Bobby Portis,1453680,6.92,1,1
Rajon Rondo,14000000,6.08,10,100
Denzel Valentine,2092200,6.5,0,0
Dwyane Wade,23200000,6.33,13,169
Paul Zipser,750000,6.67,0,0
D.J. Augustin,7250000,6,8,64
Bismack Biyombo,17000000,6.75,5,25
Anthony Brown,51449,6.58,1,1
Evan Fournier,17000000,6.58,4,16
Patricio Garino,31969,6.5,0,0
Marcus Georges-Hunt,31969,6.42,0,0
Aaron Gordon,4351320,6.75,2,4
Jeff Green,15000000,6.75,8,64
Mario Hezonja,3909840,6.67,1,1
Jodie Meeks,6540000,6.33,7,49
Arinze Onuaku,440078,6.75,2,4
Elfrid Payton,2613600,6.33,2,4
Terrence Ross,10000000,6.58,4,16
Damjan Rudez,980431,6.83,2,4
Nikola Vucevic,11750000,7,5,25
C.J. Watson,5000000,6.17,9,81
C.J. Wilcox,1209680,6.42,2,4
Stephen Zimmerman,950000,7,0,0
Kent Bazemore,15730338,6.42,4,16
DeAndre' Bembry,1499760,6.5,0,0
Jose Calderon,392478,6.25,11,121
Malcolm Delaney,2500000,6.25,0,0
Mike Dunleavy,4837500,6.75,14,196
Tim Hardaway,2281605,6.5,3,9
Dwight Howard,23180275,6.92,12,144
Kris Humphries,4000000,6.75,12,144
Ersan Ilyasova,8400000,6.83,8,64
Ryan Kelly,418228,6.92,3,9
Paul Millsap,20072033,6.67,10,100
Mike Muscala,1015696,6.92,3,9
Gary Neal,72193,6.33,6,36
Lamar Patterson,128623,6.42,1,1
Dennis Schroder,2708582,6.08,3,9
Thabo Sefolosha,3850000,6.58,10,100
Edy Tavares,1000000,7.25,1,1
Taurean Waller-Prince,2318280,6.67,0,0
Ryan Anderson,18735364,6.83,8,64
Trevor Ariza,7806971,6.67,12,144
Patrick Beverley,6000000,6.08,4,16
Bobby Brown,934293,6.17,2,4
Clint Capela,1296240,6.83,2,4
Sam Dekker,1720560,6.75,1,1
Eric Gordon,12385364,6.33,8,64
James Harden,26540100,6.42,7,49
Montrezl Harrell,1045000,6.67,1,1
Nene Hilario,2898000,6.92,14,196
Chinanu Onuaku,543471,6.83,0,0
Isaiah Taylor,305000,6.25,0,0
Lou Williams,7000000,6.08,11,121
Troy Williams,181969,6.58,0,0
Matt Barnes,383351,6.58,13,169
Ian Clark,1015696,6.25,3,9
Stephen Curry,12112359,6.25,7,49
Kevin Durant,26540100,6.75,9,81
Draymond Green,15330435,6.58,4,16
Andre Iguodala,11131368,6.5,12,144
Damian Jones,1171560,7,0,0
Shaun Livingston,5782450,6.58,11,121
Kevon Looney,1182840,6.75,1,1
James Michael McAdoo,980431,6.75,2,4
Patrick McCaw,543471,6.58,0,0
JaVale McGee,1403611,7,8,64
Zaza Pachulia,2898000,6.92,13,169
Klay Thompson,16663575,6.58,5,25
Anderson Varejao,1551659,6.83,12,144
Briante Weber,102898,6.17,1,1
David West,1551659,6.75,13,169
Al-Farouq Aminu,7680965,6.75,6,36
Pat Connaughton,874636,6.42,1,1
Allen Crabbe,18500000,6.5,3,9
Ed Davis,6666667,6.83,6,36
Maurice Harkless,8988764,6.75,4,16
Jake Layman,600000,6.75,0,0
Meyers Leonard,9213484,7.08,4,16
Damian Lillard,24328425,6.25,4,16
C.J. McCollum,3219579,6.25,3,9
Shabazz Napier,1350120,6.08,2,4
Jusuf Nurkic,1921320,7,2,4
Evan Turner,16393443,6.58,6,36
Noah Vonleh,2751360,6.83,2,4
Alex Abrines,5994764,6.5,0,0
Steven Adams,3140517,7,3,9
Semaj Christon,543471,6.25,0,0
Norris Cole,247991,6.17,5,25
Nick Collison,3750000,6.83,12,144
Taj Gibson,8950000,6.75,7,49
Jerami Grant,980431,6.67,2,4
Josh Huestis,1191480,6.58,1,1
Enes Kanter,17145838,6.92,5,25
Doug McDermott,2483040,6.67,2,4
Victor Oladipo,6552960,6.33,3,9
Andre Roberson,2183072,6.58,3,9
Domantas Sabonis,2440200,6.92,0,0
Kyle Singler,4837500,6.67,4,16
